Name,Type,Tier,Apex,Starter,Biome:Desert,Biome:Forest,Biome:Grasslands,Biome:IceAge,Biome:Ocean,Biome:Rainforest,Biome:Savanna,Biome:Taiga,Biome:Wetlands,Hash
Sage Brush,Plant,1,,1,1,,,,,,,,,10c6fcf4f4c941e4f9759cc075f3ddcc
Agave,Plant,1,,,1,,,,,1,,,,baf88e88199b36742a2aa8093e3e6efe
Barley,Plant,1,,,1,,1,,,,1,,,05eef46fd4af8694aac8d6bbf5d7d03e
Fan Palm,Plant,1,,,1,,,,,,,,,0c641f2166b29c549b7937851bdb6ef1
Field Eryngo,Plant,1,,,1,,,,,,,,,d43968a3211b0174297a0a2eb2459349
Cicer,Plant,2,,,1,,,,,,,,,b233ba5a5090b5c448347a10336fa4b9
Olive Tree,Plant,2,,,1,,,,,,,,,0ac468b7150e22c4d86aded8ef301a10
Date Palm,Plant,2,1,,1,,,,,,,,,3b1759b1fa40476459737be60273c43c
Saffron,Plant,2,1,,1,,,,,,,,,cc98dbe4a5ac06f46a333a30e294d34e
Damask Rose,Plant,3,,,1,,,,,,,,,031ca3c11aa0c8c49811a5df3b570e00
Fig,Plant,3,,,1,,,,,,,,,342cd165e08b8fa4481f33cd6481f4ea
Cotton,Plant,3,1,,1,,,,,,,,,04e8e4887cc621944ab9d34e42a3292d
Pomegranate,Plant,3,1,,1,,,,,,,,,1bfe34c93e6cb4d43a8a30d4d32a86e6
Dove,Animal,1,,,1,1,,,,,,1,,7935213f48c034c419e7739e5151058c
Jerboa,Animal,1,,1,1,,,,,,,,,5f9777eb9b000d848a2d5446fe4da2e5
Sand Cat,Animal,1,,1,1,,,,,,,,,48be6a528e1c14b438768c3c861b2d5d
Bearded Dragon,Animal,1,,,1,,,,,,,,,c9e72b3150e32174b9a5788c76140f82
Gazelle,Animal,1,,,1,,,,,,1,,,ec35b9cab83b1a646871acea13c8188e
Rat,Animal,1,,,1,1,,,,,,1,,6c742e8bdb984f849a11711d61b6ce70
Rattlesnake,Animal,1,,,1,,,,,,,,1,c1d4148c425dc2848a4f94aa39516d93
Sandgrouse,Animal,1,,,1,,,,,,,,,0fef67ec746a4b74d90aa6b2520a1341
Ostrich,Animal,1,1,,1,,,,,,,,,8236a411e4fd65c40aeb2d2836a48836
Desert Tortoise,Animal,2,,,1,,,,,,,,,c8a17d7cb7c70aa4f9ec0e6bfb6c5070
Armadillo,Animal,2,,,1,,,,,1,,,,f7df096a75d488545a7d809384b79703
Fennec,Animal,2,1,,1,,,,,,,,,d69bf8e216d656e4299b01cc99dd8edc
Gila Monster,Animal,2,1,,1,,,,,,,,,d7625d144f29d0b4cb43b485fb6fedfe
Ibex,Animal,2,1,,1,,,,,,,,,779ff2df727cec549923b87ab1295840
Jackal,Animal,3,,,1,,,,,,,,,70b24b08ee8d12345b214d6e9ad3bba5
Oryx,Animal,3,,,1,,,,,,1,,,c58d9052c6def2342ae9ca26d8f169bd
Cheetah,Animal,3,1,,1,,,,,,,,,a177de2f613c8144f9a1bfa91a75f499
Dromedary Camel,Animal,3,1,,1,,,,,,,,,073e37604ac30be4baed436a26bb99ff
Falcon,Animal,3,1,,1,,,,,,,,,d4f865ba5d9c77d4f8df57f19b6020e3
Iron,Mineral,1,,,1,1,1,1,,1,1,1,1,3787877816a117b48b4c25540d07116b
Quartz,Mineral,1,,1,1,,,1,,,,,,e43a11b5d60e2364c9af200a02c4df60
Red Stone,Mineral,1,,1,1,,,,,,1,,,eb5ed2f4cd99c6b469774d6bcd6959e1
Carnelian,Mineral,1,,,1,,,1,,,1,,,50fac5b132b8df44da57048f7fd7dea8
Enargite,Mineral,1,,,1,,,,,,,,,1dbd5712294dffb4daf31d05177f364d
Jasper,Mineral,1,,,1,,,,1,,,,,b977e77ba66deab49a11935ed83b1aba
Mudcrack,Mineral,1,,,1,,,,,,,,,9f16b24ee590ce14587fee48b64a5b47
Topaz,Mineral,1,,,1,,,,,1,,,,266f01d814f93504eb98015722d20289
Lapis Lazuli,Mineral,1,1,,1,,,,,,,,,012dc1abf1f6a7041b1efb9b2fb866fb
Limestone,Mineral,1,1,,1,,,,,,,,,dde9cbcff5b4ca44ca545a3a3ebd3fa5
Basalt,Mineral,2,,,1,,,1,,,,,,3cff7aec37bb5d24db6f3e00fcf2d98e
Sun Stone,Mineral,2,,,1,,,,,,,1,,de827ebedb0771a4b8b6df6cfc1a995e
Desert Salt,Mineral,2,1,,1,,,,,,,,,4e5333d788401ab4c8d8cb7c1b1dffe4
Gold,Mineral,2,1,,1,,,,,,,,,ce308ad9da928554dbbabb4ebf07dc19
Index Fossil,Mineral,2,1,,1,,,,,,,,,506fb2a83f574a5488a63a915ebd5aa6
Methane,Mineral,3,,,1,,,,,,,,1,cc7656253bd44ef4bb1c219d7b0d655e
Turquoise,Mineral,3,,,1,,,1,,,,,,5579d59adc9697a41a24ff6f2f39d30a
Diamond,Mineral,3,1,,1,,,,,,,,,1696c7a3a2217e746a5378eaa6023529
Dysprosium,Mineral,3,1,,1,,,,,,,,,815134120f7cdb84da33f6dea8cdaa11
Oil (Expanses),Mineral,3,1,,1,,,,,,,,,9bf4bb1f20e96b448ade41600269162e
Ruby,Mineral,3,1,,1,,,,,,,,,83b38f9f3c74838448262c8606fdca71
Ash,Plant,1,,1,,1,,,,,,,,8be16cad5ffd4504da097a78e8620802
Bamboo,Plant,1,,,,1,,,,1,,,,0ea933c9c51fe554eb897261d548d989
Blueberry,Plant,1,,1,,1,,,,,,,,2f8e3101dbb28d24eb643c71160119cb
Pear Tree,Plant,1,,,,1,,,,,,,,c437062da1c2e854ca370f2e2d6736a4
White Willow,Plant,1,,,,1,,,,,,,,15e1ac5ce6965c44cb1274ffcb214209
Blackberry,Plant,1,,,,1,,,,,,1,,19dc9571be232734780b3ecabbe4c320
Apple Tree,Plant,1,1,,,1,,,,,,,,7130026fddd810a4aa046008d37db1e9
Camphor Tree,Plant,2,,,,1,,,,,,,,752b722a6d398134fba8e2eda1cfe34b
Grape Vine,Plant,2,,,,1,,,,,,,,b8b0734c6481a2744906b8444806421c
White Mulberry,Plant,2,,,,1,,,,,,,,8386837e70a45ea48ae529f5840b7f20
Marula,Plant,2,,,,1,,,,,1,,,d4ffe501eff7fbc4394f67945c13aafc
Cherry Tree,Plant,2,1,,,1,,,,,,,,3ec2e6c24e8fab3448cd0c5d84598a13
Lychee Tree,Plant,2,1,,,1,,,,,,,,6cbfe9fcf516f1a4bbe08d833dc0203c
Nightshade,Plant,2,1,,,1,,,,,,,,c5ef7d8fe41e2a84cb98e9bf615b6577
Paper Mulberry,Plant,2,1,,,1,,,,,,,,df8f936f4063c2348bf85120bdecbf97
Dove Tree,Plant,3,,,,1,,,,,,,,8b0c9e42229bb8f4086e07c9bd5c19dd
Ginkgo,Plant,3,,,,1,,,,,,,,1fe2bac7acd80714c991ee0ae0a847c8
Hazelnut Tree,Plant,3,,,,1,,1,,,,,,8aef02933a647df458c95419b947a52b
Sunflower,Plant,3,,,,1,,,,,,,,b439bcb9dcccdff429b99bb19311d771
Chinese Jujube,Plant,3,1,,,1,,,,,,,,656127b64f891fb4e88a69c898bec7ac
Foxglove,Plant,3,1,,,1,,,,,,,,c8a156093df34e74dbc79fd8f1abf118
Maple Tree,Plant,3,1,,,1,,,,,,,,f5fb9760625d29540947f56dcf13911b
Orange Tree,Plant,3,1,,,1,,,,,,,,bda5dad3d2dc01347a8a91be66899f23
Pallas Cat,Animal,1,,,,1,,,,,,1,,17bee1dcaa34bcf40a05220df98d9d86
Raccoon Dog,Animal,1,,,,1,,,,,,,,4778fa7d05e530243bc4153b212fd8e0
Red Deer,Animal,1,,,,1,,1,,,,,,8548f63e1eb039b4e9c6089b97a2b5e9
Squirrel,Animal,1,,,,1,,,,,,1,,a8b011ac939f2aa4c8e798ea399d0a3c
Badger,Animal,1,,,,1,,1,,,,,,90a26a1c6c0e6dc43803e17bc81db77b
Rabbit,Animal,1,,1,,1,,,,,,1,,cd45785c12073b14288b953e7a1ed9b5
Stoat,Animal,1,,1,,1,,,,,,1,,0e2b1c836842957439e2e47731beaad8
Pangolin,Animal,1,1,,,1,,,,,,,,df03c48ee56f3bc49adb90752c7f004c
Corsac,Animal,2,,,,1,,,,,,,,19371b42509581a458fe9b89e3d9f4c7
Musk Deer,Animal,2,,,,1,,,,,,,,c8f24f22ad87cba42884ff24d253dfc8
Pheasant,Animal,2,,,,1,,,,,,,,75dc2af4ee77c4a498496fb38e2fc099
Beaver,Animal,2,1,,,1,,,,,,,,69d939a2265c09d40b7a7447a9b6d8ea
Boar,Animal,2,1,,,1,,,,,,,,f5c66410b2255834180531fafedadd36
Grey Wolf,Animal,2,1,,,1,,,,,,,,92b116e50755e01428a8d556cb2f8781
Gaur,Animal,3,,,,1,,,,,,,,587b5cc81c7d86141b44511f81030557
Porcupine,Animal,3,,,,1,,,,,,,,63f6635296bca71458839829dd7f853e
Red Panda,Animal,3,,,,1,,,,,,,,c9fc320ee642e9747a16b9d2c9d9c0f4
Marmot,Animal,3,,,,1,,1,,,,,,94fc6ede2b05bb44499814a1fac383d6
Mandarin Duck,Animal,3,,,,1,,,,,,1,,a1c4eea866404b84d8f816280ca014b9
Panda Bear,Animal,3,1,,,1,,,,,,,,5522293b5cbf25541a294351cfe8d232
